FID,LAD24CD,LAD24NM,LAD24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
128,E07000108,Dover, ,628964,150942,1.27689,51.2118,319082149.701332,122365.269760818
129,E07000109,Gravesham, ,566969,169114,0.398744,51.3965,104948137.835876,59371.7798504212
130,E07000110,Maidstone, ,580489,151670,0.584061,51.2357,393365083.177429,122103.464080914
131,E07000111,Sevenoaks, ,552776,155218,0.188936,51.2756,370341378.74971,134520.10665413
132,E07000112,Folkestone and Hythe, ,610318,134597,1.0008,51.0722,367831355.220551,156297.818768291
133,E07000113,Swale, ,593583,161818,0.776893,51.3225,420750026.41124,113796.273644346
134,E07000114,Thanet, ,631839,166752,1.32823,51.3525,112288613.532738,64046.90326056
135,E07000115,Tonbridge and Malling, ,564014,153896,0.349305,51.2606,240978922.153679,110159.800477661
136,E07000116,Tunbridge Wells, ,573139,136598,0.471631,51.1025,331285437.837357,152256.50142018
137,E07000117,Burnley, ,384886,430880,-2.2308,53.774,110681548.19986,58021.1902230983
138,E07000118,Chorley, ,359188,419722,-2.61923,53.6724,202900880.964981,96244.6721866921
139,E07000119,Fylde, ,339554,433811,-2.91914,53.7971,181727182.150742,77420.4148875522
140,E07000120,Hyndburn, ,374407,428967,-2.38964,53.7564,72977157.6888885,42819.8602791277
141,E07000121,Lancaster, ,356896,464988,-2.6603,54.079,653933024.123108,180565.34513442
142,E07000122,Pendle, ,387638,443368,-2.18956,53.8864,169402560.197083,79346.3330771898
143,E07000123,Preston, ,352828,436431,-2.71804,53.822,142945873.903702,71580.5489386238
144,E07000124,Ribble Valley, ,372689,447677,-2.41737,53.9245,584466146.082153,151014.503099963
145,E07000125,Rossendale, ,382827,420953,-2.26149,53.6848,138040938.808487,71574.5668009186
146,E07000126,South Ribble, ,352017,425841,-2.72871,53.7268,114601233.769333,75820.3091294364
147,E07000127,West Lancashire, ,342606,413271,-2.869,53.6128,381024407.07679,146142.543667328
148,E07000128,Wyre, ,347294,445159,-2.8036,53.8999,328400900.2556,140331.958035688
149,E07000129,Blaby, ,454385,297994,-1.19887,52.5771,130496644.783119,100959.174694151
150,E07000130,Charnwood, ,458365,316155,-1.13694,52.7399,279026392.501923,115434.554472691
151,E07000131,Harborough, ,474550,293873,-0.90228,52.5376,592660334.886856,186882.766224426
152,E07000132,Hinckley and Bosworth, ,439538,301379,-1.41755,52.6088,297342008.410141,111663.848845715
153,E07000133,Melton, ,477328,323469,-0.8544,52.8033,481387677.009995,141258.604439494
154,E07000134,North West Leicestershire, ,439107,316253,-1.42215,52.7425,279338266.389572,117244.103534027
155,E07000135,Oadby and Wigston, ,461543,299379,-1.093,52.5887,23525815.3473816,31173.7242086152
156,E07000136,Boston, ,526851,343956,-0.11218,52.978,397953341.815231,118745.940938926
157,E07000137,East Lindsey, ,534861,376064,0.020516,53.2645,1830371227.67889,216318.898399518
158,E07000138,Lincoln, ,496347,370096,-0.55848,53.2192,35690272.5781708,32969.8765973622
159,E07000139,North Kesteven, ,502139,354789,-0.47664,53.0806,922473351.148239,181759.324020533
160,E07000140,South Holland, ,532910,322929,-0.03057,52.7876,817239163.487366,206630.046231494
161,E07000141,South Kesteven, ,501404,328986,-0.49568,52.8489,942575489.744339,209903.745414181
162,E07000142,West Lindsey, ,499314,390326,-0.50774,53.4004,1157653023.35826,247190.432791615
163,E07000143,Breckland, ,591015,303332,0.818717,52.5942,1305102744.79333,239745.226995308
164,E07000144,Broadland, ,619861,315909,1.25227,52.6962,553276383.244812,202258.322254937
165,E07000145,Great Yarmouth, ,646762,315881,1.64953,52.6844,182627268.431122,86685.0206197438
166,E07000146,King's Lynn and West Norfolk, ,571219,315807,0.533245,52.7128,1528479926.24182,310324.504835989
167,E07000147,North Norfolk, ,611043,330857,1.13161,52.8339,993420030.724213,241449.906139837
168,E07000148,Norwich, ,622355,309773,1.28498,52.6401,40523130.3550262,92142.4288162443
169,E07000149,South Norfolk, ,628991,295822,1.37325,52.5122,908946746.612503,232013.835657972
170,E07000170,Ashfield, ,450035,355843,-1.25422,53.0975,109546005.068954,69379.2839161762
171,E07000171,Bassetlaw, ,468073,384835,-0.9787,53.356,639484067.351898,155079.334481353
172,E07000172,Broxtowe, ,449829,341891,-1.25944,52.9721,80100764.8887024,66132.3014610401
173,E07000173,Gedling, ,459184,347811,-1.11907,53.0243,119978466.99086,69800.5005594416
174,E07000174,Mansfield, ,455047,363637,-1.17804,53.167,76705395.1793823,51139.382105256
175,E07000175,Newark and Sherwood, ,470624,357451,-0.94643,53.1096,651835337.332596,179821.891394678
176,E07000176,Rushcliffe, ,466609,335453,-1.01093,52.9124,409223764.532196,123459.169413405
177,E07000177,Cherwell, ,449301,221199,-1.28506,51.8872,588728924.406403,226172.321230944
178,E07000178,Oxford, ,452277,206368,-1.24405,51.7536,45602912.6826096,34999.6552172678
179,E07000179,South Oxfordshire, ,463890,191964,-1.07847,51.6229,678502437.416466,205574.39725527
180,E07000180,Vale of White Horse, ,435697,195198,-1.48537,51.6544,578677901.21756,176654.163620118
